Nama Pengguna;Skor (Bintang);Ulasan Teks;Tanggal Ulasan;Balasan Pengembang;Jumlah Like;ID Ulasan
begi berahmahendra;5;sangat membantu banget;2025-10-10 11:52:20;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;1fd611ae-4431-4e8c-b777-0e0fed5ceb67
Bety Agustin;5;Benar-benar ga bisa dibuka aplikasinya. Awalnya minta bersihkan riwayat. Sudah dilakukan, tapi tetap ga bisa dibuka sama sekali. Mau login aja ga bisa.. Force close terus. Akhirnya hapus dan instal ulang, tetep aja ga bisa dibuka aplikasinya. Semakin di update.. Malah semakin ga bisa dipake. Padahal sebelumnya ini aplikasi andalan buat mobile banking. Kecewa banget dah pokoknya;2025-10-10 10:04:24;"Mohon maaf apabila Bapak/Ibu mengalami untuk kendala force close pastikan menggunakan versi terbaru dan jaringan stabil. Silakan mencoba secara berkala untuk menonaktifkan fitur accessibility service atau talkback/screenreader/text-to-speech pada device Bapak/Ibu.Setelah itu, dapat mengakses kembali aplikasi BCA mobile.
";1;cc0a57c9-ff69-47d2-baca-70eec46459ad
Ade Novenzia;5;2025 update, bintang 5 lah dah bagus banget;2025-10-10 09:55:45;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;93469a2e-339d-4463-a440-650bb3e7e87d
Djuandra Salim;5;kenapa gatcha di mobile bca tidak bisa diakses.?;2025-10-10 09:55:37;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.;0;b0f557b4-18dd-4651-b337-d33474f2109a
Annisa Nisa;3;notifikasi tidak muncul ketika ada transaksi masuk, padahal sangat penting, jadi saat ini harus cek tiap ada transaksi masuk..rating akan diubah setelah aplikasi update;2025-10-10 09:45:41;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk notifikasi dana masuk pada BCA mobile hanya untuk transaksi melalui jaringan BI Fast. Namun saran Bapak/Ibu akan menjadi masukan bagi kami untuk pengembangan aplikasi BCA mobile demi kemudahan dan kenyamanan Bapak/Ibu.;0;c450e437-528f-45b7-bcd5-d6b169b46d1c
Edahdalia;5;trimakasih;2025-10-10 09:13:48;"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
";0;9a847b63-3cf1-4910-aa5c-0056e9746e8a
Irvan Indra80;5;ya. gud;2025-10-10 08:44:03;"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
";0;59c17aff-7c07-424a-aab8-42edf655f871
Siti Nurjanah;5;dengan BCA mobile semua jadi mudah;2025-10-10 07:06:10;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;90b25473-c38d-4277-9c24-1b8f40a0be82
Kayfar Jaya;1;aplikasinya lemooott ..sdah seminggu;2025-10-10 06:16:25;"Mohon maaf atas kendala yang Bapak/Ibu alami. Saat ini tidak ada kendala penggunaan fasilitas m-BCA dan dalam keadaan normal. Mohon memastikan jaringan dalam kondisi stabil.
";0;92f54ffe-2ca8-41b5-b537-1843c9166970
Syed;1;ganti Sandi doang gak bisa. sementara transaksi tidak dapat diproses silahkan ulangi beberapa saat lagi;2025-10-10 03:50:10;Mohon maaf atas kendala yang Bapak/Ibu alami. Saat ini tidak ada kendala penggunaan fasilitas m-BCA dan dalam keadaan normal. Mohon memastikan jaringan dalam kondisi stabil.;0;d2a82ce4-4f92-4ea3-bff8-e4a09a2cc16c
Muhammad Yassin;5;Saya sangat suka karena simple dan mudah digunakan;2025-10-10 01:54:16;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;326ff2a2-9876-4796-ae23-0d9d2147da25
Sepdar (Sepdar);1;Parah banget! Saya tarik uang langsung di bank daerah Kapuk, Cengkareng, bukan di ATM luar, tapi gak ada pecahan Rp50.000 sama sekali. Udah buang waktu, tenaga, dan malah harus bayar parkir juga. Masa bank segede ini gak bisa siapin pecahan yang cukup? Tolong diperbaiki, jangan nyusahin nasabah kayak gini!;2025-10-10 01:47:21;Mohon maaf atas ketidaknyamanannya, ulasan Bapak/Ibu menjadi bahan evaluasi kami guna meningkatkan layanan di masa mendatang agar kami senantiasa dapat memberikan pelayanan prima serta melayani kebutuhan perbankan Bapak/Ibu.;0;88737032-6fc5-489e-bd2e-016b178ce418
Saman Old1954;5;Good;2025-10-10 00:53:18;Thank you for the review. Hopefully the BCA mobile application will make your banking transactions easier.;0;e3ac23f4-dee3-45e5-8aff-493ddc07a9b5
Angga Rexsa;4;keren;2025-10-09 23:20:28;"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
";0;ac4df3b2-4ed2-4db4-a81a-88ae8524c74a
Gilang Anugerah;1;tiba2 verifikasi lagi di saat transasksi;2025-10-09 23:15:19;Mohon maaf atas kendala yang Bapak/Ibu alami. Untuk mengakses m-BCA pada aplikasi BCA mobile mohon dipastikan nomor HP m-BCA berada pada slot SIM 1, menggunakan jaringan internet dari nomor HP m-BCA yang terdaftar, memiliki ketersediaan pulsa yang cukup serta tidak menggunakan WiFi.;0;97209f6d-43d2-4b21-8de7-1f9c67c2b889
Kang Acunk;5;👍👍👍👍👍👍👍👍👍👍;2025-10-09 21:40:48;"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
";0;83fcc7fe-73a9-4fd3-b51e-cdb824e0e5f3
Muhammad Nur Alam;1;bca mobile sama mybca app gajelas, verifikasi muka gagal terus gara gara hp android yang kameranya burem, mana lagi urgent, bad;2025-10-09 21:38:57;Mohon maaf atas kendalanya. Penambahan verifikasi biometrik pengenalan wajah bagi nasabah yang melakukan aktivasi/penggantian device pada saat proses provisioning masuk ke aplikasi BCA mobile guna keamanan. Mohon pastikan Bapak/Ibu berada di tempat terang, kamera terlihat jelas, posisi wajah berada dalam lingkaran dan data telah sesuai.;0;e30dd975-384b-42e1-b0fa-72fabdbd4206
eka yanuar;1;gak pernah gatcha gebyar bca sejak 2024;2025-10-09 19:28:54;Mhn maaf atas ketidaknyamanannya. Jika yg dimaksud Bapak/Ibu tdk pernah mendapat Gacha Berhadiah maka seluruh Nasabah BCA berkesempatan utk mengikuti Permainan Pilih Gacha Berhadiah, sepanjang Nasabah memiliki Poin Gebyar dan dapat mengakses laman Gebyar Hadiah BCA di m-BCA pada BCA mobile, myBCA mobile/myBCA web sehinnga dpt mencoba kembali;0;a2b170ef-5a75-4811-b093-5a647341599c
Rizal Abi;1;aplikasi nya ribet GK jelas,,nyesel gua;2025-10-09 16:43:48;Mohon maaf atas ketidaknyamanan Bapak/Ibu, ulasan Bapak/Ibu menjadi bahan evaluasi kami, guna meningkatkan layanan di masa mendatang agar kami senantiasa dapat memberikan pelayanan prima serta melayani kebutuhan perbankan Bapak/Ibu.;0;ad68d25d-b3c7-4983-8378-4d4bca0d4355
Nabil Amien;1;kenapa suka keluar buat verivikasi lagi si;2025-10-09 15:13:20;Mohon maaf atas ketidaknyamanannya Bapak/Ibu, mohon dipastikan jaringan internet stabil dan ruang memori penyimpanan pada HP mencukupi, menggunakan nomor HP m-BCA yang terdaftar berada pada slot SIM 1 kami sarankan Bapak/Ibu dapat mencoba secara berkala.;0;f24a71b7-02e0-499f-b311-2881a9b6d844
Helios Yuli;5;ok mantap BCA;2025-10-09 14:59:24;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;0e3edefb-a495-4fa8-a18c-a7efca292073
AKMAL KHOLID;1;diperbaiki lagi sistem nya kode otp ga terkirim udahh makan pulsa 10ribu ga ada hasil udah hub cs digital kata nya nomor saya yg kendala,kalau kendala bank mandiri saya pun juga ga bakal terkirim tapi nyata nya bank mandiri terkirim dan ga perlu pulsa juga;2025-10-09 12:55:35;Mohon maaf atas ketidaknyamanan Bapak/Ibu, dikhawatirkan akibat tidak sesuai nomor yang digunakan mohon memastikan nomor yang terdaftar koneksi stabil serta disarankan tidak menggunakan WiFi dan mencoba secara berkala.;0;f3188c0f-5d7d-455c-91b1-06a48dd4da99
fortuna aflahah;3;sangat mudah dan nyaman. tp aktifasi kuasa debet bisa menjadi tempat sasaran penipu untuk menguras tabungan. pengaktifannya begtu mudah tapi menonaktifkannya begtu sulit harus ke kantornya BCA;2025-10-09 11:57:45;Terima kasih atas saran dan ulasannya. Hal ini menjadi masukan bagi kami untuk pengembangan aplikasi BCA mobile demi kemudahan dan kenyamanan Bapak/Ibu.;2;41c140fb-315c-46bd-950b-8243ff619b13
Wahyu holidin;1;makin sini makin ribet ga kayak awal pakai aplikasi susah di buka apakah harus langsung transaksi ke bank?;2025-10-09 11:55:47;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan Twitter @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.;0;8817f3c8-43d7-49ae-a60a-92cf77d9f446
Lyndha Olshop;1;Minta update, m-mulu HBSin kuota.. otw hapus atuh•!🙏🥺;2025-10-09 10:49:31;Mohon maaf atas ketidaknyamanannya Bapak/Ibu, untuk update aplikasi dilakukan salah satunya untuk memperbaiki bug dari versi sebelumnya, kami sarankan silakan dilakukan update aplikasinya untuk kenyamanan transaksi ke depannya.;0;f1a57733-d67a-4b81-95d8-0ac64acb5e39
Aris Suyono;5;top dah;2025-10-09 10:25:58;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;f0e45721-6724-4b11-ba70-42cae1543f03
Andi Husain;2;kpd yth BCA mobile tlng jng persulit saat login dengan memasukan kode akses yang sudah benar tapi dianggap salah dan login dengan sim card yang sudah benar knp hrs memasukan no kartu bca lg.coba yang mudah agar nasabah tidak susah dengan menggunakan pelayanan BCA.mksh;2025-10-09 10:05:07;Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bpk/Ibu akan menjadi bahan evaluasi bagi kami ke depannya agar kami senantiasa dapat memberikan pelayanan prima serta melayani kebutuhan perbankan Bapak/Ibu. Terkait masuk dengan nomor kartu ATM merupakan prosedur aktivasi sistem menggunakan dari nomor HP yang terdaftar.;0;886ec7ba-b7a7-45a7-b2a3-c2161e73b6f0
Renaldi Ilyas Maulana;3;kenapa saya tiba-tiba logout.. dan harus aktivasi kembali. mending kalo aktivasinya gak bayar.!!;2025-10-09 10:04:51;Mohon maaf atas ketidaknyamanan Bapak/Ibu, dikhawatirkan akibat tidak sesuai ketentuan penggunaan atau koneksi internet yang kurang stabil. Kami sarankan memastikan nomor yang terdaftar berada pada slot utama, koneksi internet dari nomor yang terdaftar dan memastikan koneksi stabil serta disarankan tidak menggunakan WiFi dan mencoba secara berkala.;0;7021d142-aee3-420b-b82d-b53f4c813ff4
ANTIKA;1;BCA makin kesini makin bobrok, saya harus nonaktifkan fitur aksebilitas terus menerus. kemarin bisa buka apk, besoknya tidak, seterusnya selalu berulang. saya mau transfer jadi sulit, sangat merugikan & buang-buang waktu nasabah;2025-10-09 10:04:40;Mohon maaf atas kendala yang Bapak/Ibu alami, untuk kendala tersebut mohon pastikan menggunakan aplikasi versi terbaru dan jaringan stabil. Silakan mencoba secara berkala untuk menonaktifkan fitur accessibility service atau talkback/screenreader/text-to-speech pada device Bapak/Ibu atau menonaktifkan menu Asisten/Assistive Ball.;0;006e9455-c409-408a-a09d-8321249cfe97
Amir Doanx;5;mudah di gunanan;2025-10-09 09:58:32;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;55a1c5ba-d315-413c-a9bc-3613097f767f
Taufiq Mustofa;1;katanya paling aman,tapi ternyata paling buruk ratingnya;2025-10-09 09:32:33;Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.;0;552d12c1-a0a1-47c8-aba7-034844875bad
Muhammad Kusnadi;1;plisss ini kenapa setelah update saldo ngurangin 500ribu 😭;2025-10-09 09:22:55;Mohon maaf atas ketidaknyamanan Bpk/Ibu, terkait update apk tidak dibebankan biaya apapun. Untuk kendala tersebut mhn dapat menginformasikan detail gambar yg menunjukan pengurangan saldo ke layanan X @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.;0;3d04b9fe-2b4c-443d-b3c8-fab869c616ae
nikita tatto;5;good;2025-10-09 09:08:53;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;ef259daa-1589-42cb-b465-a094f9203ed6
deni setiawan;2;kenapa BCA sekarang lemot;2025-10-09 08:54:40;Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.;0;adf16842-130b-4dea-aaa1-43b2c6347bf3
Rika Queen;1;AKTIVASI SMS SAMPE 1 JAM SUDAH JELAS PASTI GAGAL. SAMPE 10 KALI. MENDING GRATIS, BAYAR LAGI . SAMPAHH Sekelas BCA;2025-10-09 07:46:27;Mohon maaf atas kendala yang Bapak/Ibu alami, jika yang dimaksud untuk proses verifikasi m-BCA di HP pastikan pengaturan SMS dapat dilihat pada: Setting > Apps > pilih aplikasi BCA mobile > Pastikan always allow pada send SMS Premiumnya. Untuk nomor HP yang terdaftar pastikan jaringan stabil dan tersedia pulsa.;0;d5e02d47-56a1-4683-8660-ad57571cda19
69 63n76;5;puas;2025-10-09 07:25:23;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;189ba9c8-1bfc-4864-acad-58a704302721
Jemmi;5;kasian klo ngga di kasih bintang;2025-10-09 06:43:04;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;806d3d72-8030-4e77-823d-8dac0689c73a
Rodavid girsang;5;very good apk;2025-10-09 06:08:12;Thank you for the review. Hopefully the BCA mobile application will make your banking transactions easier.;0;8599ac3f-b46b-454f-a748-3f8b0a908de0
Cokelatos Lezatoss;1;lemot sinyal merah terus;2025-10-09 05:39:53;Mohon maaf atas ketidaknyamanannya. Dipastikan jaringan internet stabil dan ruang memori penyimpanan pada HP mencukupi. Kami sarankan Bapak/Ibu dapat mencoba secara berkala.;0;348b57d3-385f-4f36-9ab4-d9d6a39ec43e
Abdul Hakim;1;Sering eror gak jelass udah 2x Ribet udah paling bener pake bank lain;2025-10-09 05:12:22;Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.;0;eeb99e2d-24ee-42ae-9787-36d4db9e748e
Arif Kurniawan;5;hebat , simple dan gak ribet;2025-10-09 04:25:35;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;1f09943b-08ec-43cd-b45c-7b7a06d67b97
Hari Sandi;1;tetap tidak bisa keluar kode nya;2025-10-09 03:57:29;Mohon maaf atas ketidaknyamanan Bapak/Ibu, jika yang dimaksud tdk terima OTP, pastikan memiliki ketersediaan pulsa yang mencukupi. Mohon pastikan tidak menggunakan WiFi, menggunakan koneksi dari nomor HP yang terdaftar (pada slot utama), pastikan jaringan dalam keadaan stabil serta silakan dapat mencoba secara berkala.;0;617c15b8-8412-4e88-94ad-7fa2bf02ad59
Marlinah Marlin;5;senang memakain bca mobile cepat dan mudah untuk transaksi apapun;2025-10-09 03:43:54;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;29f764c8-dd3a-4899-ab66-29d234c7500a
bintang leoni;5;sangat bagus;2025-10-09 03:42:15;"
Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.";0;d5538dfa-8526-4fad-a10a-f14dac0893e6
Susan San;5;👍👍👍👍;2025-10-09 03:13:15;"
Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.";0;1b43bbd5-dc5c-46cd-b92a-3c56d7a3e123
Iyan Wibowo;1;nyala hijau, biru, merah, gak guna apk lain gak butuh kayak gitu. 🤮;2025-10-09 02:55:39;Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik. Mohon pastikan koneksi jaringan stabil agar dapat bertransaksi dengan lancar.;0;dd3f0013-9ef9-40f3-bce4-d6ee4d87f977
Minghan;5;"maaf mau tanya saya di luar negeri mau aktifin mobile bca nya gimana y q dah coba berkali""tapi g bisa";2025-10-09 02:23:42;Mohon maaf atas ketidaknyamanan Bpk/Ibu, pastikan gunakan nomor HP yang terdaftar, tersedia pulsa dan aktif roaming. Jika masih kendala, dapat menginformasikan detail gambar kendala yang dialami ke layanan X @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.;0;3b0e5f24-b16b-4a64-8f3c-82f3ef759e3f
syukron alamabara;2;Ngapa slalu minta update sih;2025-10-09 00:56:59;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk update aplikasi sudah menjadi ketentuan dan pembaharuan fitur. Mohon memastikan jaringan internet Bapak/Ibu dalam kondisi stabil dan ruang penyimpanan HP yang mencukupi.;0;52f5e9af-2707-4667-9a4b-f298e514bc28
Sultan Farizqi;1;gabisa buat rek baru;2025-10-08 23:59:24;Mohon maaf atas kendalanya, untuk buka rekening baru melalui BCA mobile dapat dilakukan, namun mohon Bapak/Ibu pastikan menggunakan nomor HP yang belum terhubung m-BCA serta tersedia pulsa dan aktif.;0;004373a1-ebc5-41a4-9ad3-fc8135820d61
David Art;1;admin ini aplikasi nya dari kemarin muncul kode 205 mulu dah, saya mau cek saldo dll dipersulit mohon di jawab min penting;2025-10-08 23:31:26;Mohon maaf atas ketidaknyamanan Bapak/Ibu, jika terdapat respons 205 mohon memastikan kembali BCA mobile Bapak/Ibu benar terhubung dengan SIM card nomor HP yang telah didaftarkan m-BCA, jika menggunakan HP dengan dual SIM card, SIM card m-BCA diletakan pada slot utama, tidak mengganti-ganti slot utama yang digunakan untuk nomor HP m-BCA.;0;40ea0d71-bf04-4737-a942-d654902fab5e
Indah Indah;5;cara mudah untuk melihat finical tdk ribet ok;2025-10-08 23:17:11;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;68382229-d2bf-4c0d-b996-48c8aff3b368
Eni Arifin;1;tiap ada tf masuk g ada notif;2025-10-08 22:43:20;Mohon maaf atas ketidaknyamanan Bapak/Ibu. Terkait notifikasi di aplikasi BCA mobile untuk transaksi transfer dari sesama Rekening BCA maupun bank lain tidak terdapat notifikasi, kecuali transaksi dana masuk dari bank lain dengan transaksi transfer menggunakan layanan BI Fast maka Bapak/Ibu akan mendapatkan notifikasi di aplikasi BCA mobile.;0;7186fb1d-f5b7-4e5b-a8a8-ec51a7063431
Onny Las;4;terlalu banyak kirim sms;2025-10-08 19:31:56;Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.;0;d230d5af-a1a0-470d-8c08-a2ba0343f77f
gunari;4;aplikasi bagus, sayang fitur Qris sering terganggu, sering saldo terpotong dan sudah lapor CS ada yg di balikin tp banyak yg gak baliknya dan saldo hilang sia², tolong Qris di perbaiki bila transaksi gagal saldo bisa otomatis balik seperti bank lain;2025-10-08 19:07:21;Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bpk/Ibu akan menjadi bahan evaluasi bagi kami ke depannya agar kami senantiasa dapat memberikan pelayanan prima serta melayani kebutuhan perbankan Bapak/Ibu. Terkait kendala QRIS umumnya pihak analis akan memproses sesuai prosedur, jika saldo tidak kembali ke rekening maka masuk ke pihak tujuan.;0;e680ca60-0f7d-456a-9240-cf8c0f235294
Tio Xsentd;1;tinggal vermuk doang gagal mulu gegara kamera gw jelek,, ribet;2025-10-08 18:02:31;Mohon pastikan Bapak/Ibu berada di tempat terang, kamera terlihat jelas, posisi wajah berada dalam lingkaran dan data telah sesuai.;0;5b29cab4-489b-4e2e-bb6b-b28dc6a1d32e
Rian Kupang;5;mudah ,aman,pelayanan cepat ....sopan.jaya slalu BCA;2025-10-08 17:21:41;"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
";0;99e8a038-2d58-4880-b195-6ca5956d1d74
Andreas Eddy;1;kenapa tidak ada balasan sms;2025-10-08 16:50:31;Mohon maaf atas kendala yang Bapak/Ibu alami, untuk proses verifikasi m-BCA di HP pastikan pengaturan SMS dapat dilihat pada: Setting > Apps > pilih aplikasi BCA mobile > Pastikan always allow pada send SMS Premiumnya. Untuk nomor HP yang terdaftar pastikan jaringan stabil dan tersedia pulsa.;0;bc088372-6730-459d-97aa-1f637efef84c
Candra Ardani;1;"Saya transaksi pembayaran manggunakan qris hari minggu dan di aplikasi dengan jelas tulisannya transaksi gagal. Malah saldo saya terpotong di hari selasa. Sudah chat cs malah disuruh cari merchantnya lagi padahal itu orang jualan di event"" aja ga mungkin saya bisa ketemu lagi. saya tanya kenapa transaksi sudah gagal di hari minggu kok malah disukseskan di hari selasa juga tidak ada jawaban. Jujur kecewa sekali, saya tarik semua uang saya dari rekening bca";2025-10-08 16:46:24;"Mohon maaf atas kendala yang Bapak/Ibu alami, kami sarankan untuk pengecekan lebih lanjut dapat menghubungi layanan Halo BCA di 1500888. Sebagai informasi untuk bebas biaya pulsa dapat download aplikasi haloBCA di App Store atau Play Store.
";0;53696f4b-7012-4094-b338-054cc666f21d
Andiy Hendrawan;1;BURUK BANGET GAK JELAS, OTP NGABISIN PULSA !!!! LAMA BANGET BIKIN KESEL;2025-10-08 16:04:15;"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.
";0;80b6e32a-b3fa-4312-9158-938d3aa659f0
izar alqautsar;1;apa2an sih ini, makin kesini makin lemot aja ini aplikasi, internet lancar banget buka aplikasi lemot nya ampun2 an;2025-10-08 15:54:02;"Mohon maaf atas ketidaknyamanan yang Bapak/Ibu alami, pastikan aplikasi Bapak/Ibu sudah versi terbaru jaringan internet dalam keadaan baik dan stabil tidak disarankan menggunakan wifi setelah itu dapat mencoba kembali di lain waktu.
";0;c0f45a52-46f6-4217-ab25-48b9eb8baf8c
