Nama Pengguna,Skor (Bintang),Ulasan Teks,Tanggal Ulasan,Balasan Pengembang,Jumlah Like,ID Ulasan
Zila Zila,1,Aplikasinya jelek banget lebih bagus aplikasi sebelah(tahu kah aplikasi mana) aku lebih suka aplikasi sebelah dari pada aplikasi ini!👎,2025-10-05 09:22:18,,0,f244ab6d-af6c-4742-beff-65b04d38eefd
Ikbal Nazrul,4,ini tempat nonton paling favorit pokoknya👍👍👍👍👍👍👍👍👍👍👍👍,2025-10-05 09:16:57,,0,a0519451-a521-4415-a82b-9197de1d5f7a
Albert Horman,5,aplikasi ini lumayan bagus walaupun masih ada film yg aku pengen nonton tapi GK ada di Netflix tapi sudah bagus film filmnya juga berkualitas,2025-10-05 08:42:38,,0,645d18e0-87e4-4ccb-9449-d71b3bf32e67
Faisal ASEPZz,1,sumpah bener bener nggaa wor it daftar nya suruh bayar,2025-10-05 08:31:30,,0,13c74933-fef8-4464-8a32-0f45e9e78349
Klarisa anesti Indah S,1,kecewa banget udah daftar udah bayar malah ga bisa log in alasan gangguan terus,2025-10-05 07:20:39,,0,efa5887a-b870-4bf1-9719-f170695c6136
Jamal Uddin,5,netflix sangat menyenangkan,2025-10-05 07:06:27,,0,056dfb32-ad6f-4b3c-a649-56b70ce616cf
Sari Winata,1,"udah berlangganan 1080p, kualitasnya masih jelek aja eek",2025-10-05 07:02:30,,0,c6eb6052-04d5-4b3f-a9a7-efeb3c910839
GM ADDICTED BOOK,1,susah,2025-10-05 06:50:11,,0,e285a718-927f-485f-9879-fe464e0af059
Warung Hp,1,"dulu ga da bayar apa pun kecuali VIP, ini di harus kan walau bukan member VIP , g guna .. duit duit Mulu kalian heran gw..",2025-10-05 05:47:16,,0,eeeb85b1-0bf6-485c-aebe-26570ef45416
Tang chanel,1,"saya juga download masuknya sulit sekali hrs email,email dah g bisa kepake padahal mau nonton aja ribet... uninstall deh",2025-10-05 05:41:20,,0,b3b2fb11-31e4-4e27-a5c9-4333363e1801
Frenly,1,BURUKKK,2025-10-05 03:54:19,,0,60a1c192-c36f-4dd9-a7dd-6ae2589a3d30
Andi Husaini,5,very god,2025-10-05 03:45:42,,0,b874e037-a4cf-4495-9d95-82736c3c37d2
Indri Mahawira,1,jelek,2025-10-05 02:48:31,,0,8b25c0e0-d432-43ed-8d55-6ccffbf26a21
Nuril Rohman,5,✌️👍,2025-10-05 00:16:18,,0,a46ef095-be2e-492c-bf4c-603779e6f057
Anissa kiren,1,setiap mau nonton ko loading terus ya aneh,2025-10-04 22:50:43,,0,84596468-c4ae-4e66-86b4-a8e5d9162b24
Aprili April,5,makasih Netflix sangat mempermudah untuk nonton drakor,2025-10-04 22:10:25,,0,a0b0b41b-d3ad-4ac3-bf87-0c7068f34982
Ilham Ramadhan,1,pembayaran jangan Oto debit Shopee dong!! menyusahkan.ubah pembayaran Via Shopee jadi manual!!!!,2025-10-04 18:34:48,,0,bfd35290-e18c-4cf9-8de2-a98bd0f87ca8
A Haigal Wiriawan,1,gabisa nonton saya,2025-10-04 17:56:21,,0,f069181f-8cbd-4759-9d20-ad43a2c520fb
Indra Saputra,1,"ini maksudnya apa? kenapa pembayaran nya langsung ambil uang saya di dana? tanpa ada minta verifikasi atau konfirmasi? saya jga punya kebutuhan lain, saya belum bayar kalau blum terpenuhi kebutuhan lain, aplikasi kurang ajar memang kau",2025-10-04 17:02:23,,2,499fbbd5-7353-42ba-9b8b-293be55900db
Amalia Zean,3,"udah bayar, tp klo nonton dihp jadi ky ancur gt, mana ngeglitch lagi.",2025-10-04 15:03:22,,0,57b68a6b-98e3-4df9-9c32-82e56e9ba4b7
Rereee,2,apaan ni gabisa login pdhal Gmail sama sandi dah bener,2025-10-04 14:38:09,,0,400d1785-d5b7-4c0a-bcc2-2fd5260993c4
Nova Hero,1,tidak bisa login,2025-10-04 14:01:45,,0,fa14eec3-94ba-42d1-ba69-fb3ebbbc2bb4
Taufik kurniawan,1,"login bayar ga masuk2,parah sitemnya",2025-10-04 13:21:08,,0,38ad5f69-58fd-4de1-82a1-b5b7ae2c9a13
Prov Jogja,3,pliss Netflix tambah kan banyak lagi film dan jangan sampai menjadi film bajakan gratis di google,2025-10-04 11:19:29,,0,88ef2509-2177-4768-a10f-bb6e38b441b0
Qamarul S,1,this is your own Fault realize what mistake you are,2025-10-04 10:29:03,,0,a7d9b33c-eeef-493c-a070-ee9b1a7d72c4
Mohlani,4,"CV ke""x AA",2025-10-04 10:05:55,,0,4a4a7e47-74a9-43c2-8c93-d936c330ea3e
zae 69,4,tolonglah jangan pembayaran jangan otomatis,2025-10-04 10:02:33,,0,ab447ce1-194c-47bb-875f-43fcf6f16819
Lia Veronika,2,Netflix kenapa di smart TV gak bisa kebuka?,2025-10-04 09:28:05,,0,54c5e533-46e4-4a46-802a-55fa08ee0f2c
kanaya salsa,1,aplikasi gajelas orang mau nonton aja dipersulit login nya gw saranin kalo mau pake apk ini jangan mau yah lebih baik cari apk yang lain aja,2025-10-04 09:11:28,,0,f2e69d33-9b62-486b-a57a-95e7a953dfa2
Grivano Gilang Restandy,5,bagus,2025-10-04 09:07:31,,0,729f7482-615c-4be7-a73a-7dd219f4db99
dara Putri,1,kodenya Netflix tidak dikasih jadi nggak bisa masuk gimana coba ini aplikasi masa nggak kasih kodenya 👎👎👎👎👎,2025-10-04 08:05:18,,0,15eb5e90-8c26-442f-a9e7-2fb531bc2cb3
Permanaa Rezi,1,"Sudah berhenti berlangganan tapi tetep saja uang di rekening ke ambil,, gajelas orang udah berhenti tapi masih tetep ngambil aja udah kaya nyolong",2025-10-04 06:03:32,,0,08577f43-fab7-450e-9a82-568616416009
Julia Lia,1,"SUSAH SEKALI UNTUK DAFTAR DI APLIKASI INI, AKU HARUS MEMBAYAR APLIKASI ITU!!!! PADAHAL NAMA EMAIL KU SUDAH BENAR TAPI TETAP SAJA TIDAK BISA!!!",2025-10-04 04:35:24,,0,a1325542-9350-4e6d-b950-5c754b87cad8
Ferdy Yohanes,5,Ok,2025-10-04 04:18:18,,0,77b43c19-679d-495f-8e6a-96a3a73d7452
Imam Safiq,1,"login gagal terus, padahal itu akun utama saya. mana skrg gak bisa masuk gara² keseringan login. sia² isi paket netflix. buang² uang aja!",2025-10-04 02:42:22,,0,8a14cbd3-e865-4d97-a8cd-ed35f78769ab
Yoga Hadi,5,jangan donlod kita termasuk nya du peraas!,2025-10-03 21:05:38,,0,4e3f37ef-8d13-4faf-a229-e9fbc1749dc9
Abi,1,gambarnya brebek gak jelas percuma langganan padahal udah support wifi tetep aja gambarnya brebekkk kaya kaset kusut gak recommen banget.,2025-10-03 19:58:27,,0,f61265cd-e243-48d6-808a-954e5b66f442
Cupang Cupang,4,"very good.. can watch movies with family, it's just that there are too few movies, sometimes the movies we are looking for are mostly not available. we ask that more be provided so that we can enjoy all the movies we want to see. thank you.",2025-10-03 17:16:54,,0,a32c4f87-f0cd-40de-a570-e3f2b822c468
Leonardo Chen,1,Netflix buat semua orang jadi terpengaruh Krn aplikasi Netflix TDK mungkin membuat bahagia kebanyakan Indonesia rata rata semua saya gak tertarik mohon tolong di hapus aplikasi ini biar orang gak nonton lagi 😠😠😠😠😠😠😠😠😠😠😠😠😠,2025-10-03 14:51:16,,0,f1e31067-62d9-40ab-8f2d-d9f3e8e01a5d
Ahmad Nurhaq,1,daftar akun sangat rumit aplikasi tidak bagus,2025-10-03 14:31:19,,0,734abb96-a027-48ab-a1c1-5e6b7bdbceb7
Indivara Indivara,1,g bisa login on ol,2025-10-03 13:42:12,,0,aa31418e-0ef3-4d16-8708-d2cbf0913edb
rozaq luqman,5,oke,2025-10-03 12:32:45,,0,d8278ada-76ea-46ba-9437-a6cd0529ef1f
Armi Kartika,1,apa2n sih netflix.. udh isi langganan malah kluar sndiri ga jelas g bisa masuk,2025-10-03 11:40:10,,0,817f20c8-67be-41e1-9a0e-78b29a3ee20d
Firaa Dzafiraa,5,oke,2025-10-03 10:23:49,,0,d60945eb-80df-49e6-9c4f-d6fbd1e75d5e
Gideon Dolly Lembang,1,huuuuuu banyak agenda LGBT nya 🤢 🤮,2025-10-03 07:59:44,,0,493c6fea-b080-4d17-82bb-1c6a4a654f83
Oni Pertma,2,parah padahal aku sudah berhenti berlangganan tiba tiba dana ke sedot secara otomatis..padahal apk sudah di hapus. jadi terpaksa download lagi gara gara saldo ke potong otomatis heemm,2025-10-03 07:33:36,,0,679c7774-4d20-4fcd-a1bb-c770aa7e14a3
Via. JM,2,padahal udh gak langganan tapi ttp aja saldo kita di potong seenaknya kesel banget,2025-10-03 06:05:50,,0,e630c64e-2200-45af-8452-6de4494a6895
sonia ayu,1,eror,2025-10-03 05:59:51,,0,d3503b85-5677-466b-a425-1055109e73aa
Ira Lativah,1,ribet,2025-10-03 04:40:44,,0,020dd2ed-88f0-4ece-811d-f4ce3d9bd986
Ipan Pos,5,Oke,2025-10-03 03:01:24,,0,3fd70538-f789-42ed-a138-b6579d800edf
Wahyu Aimita,1,tidak bisa memutar filmnya.muncul kesalahan e100 terus.di tab atau hp juga aplikasinya tidak bisa di update.parah sudah bayar langganan dengan langkah2 yg ribet hasilnya ga bisa diputar filmnya semua.nyesel langganan,2025-10-03 02:46:14,,0,340c703a-2068-475a-83ff-36b6059dff6f
Gunowidjojo,1,nyesel daftar + bayar.. film nya ga lengkap.. aplikasi nipu,2025-10-03 00:54:50,,0,1c243910-db1c-4f09-a0f7-5b80395d5ce7
Lilya Jsf,1,Kesel banget sama Netflix film bagus eh di cut off gk dilanjut seasonnya.... banyak bgt malah. klian tuh liat rating dr orng yg nonton donk.. klo rating bagus ya lanjutin jangan berdasarkan quantity... kadang ada season 2 yg pertama gk ada. yg ada aq cari di applikasi lain yg pertama dan mending lanjut nonton disana.....,2025-10-02 23:47:29,,1,a77bd310-18f3-4189-9a02-30be287fa4a5
alat kantor kursi murah,3,di coba semoga lancar,2025-10-02 22:14:48,,0,21a7d442-b23c-4269-81c8-0cb1af3bb638
Eko Prasatriyo,1,saya ingin berhenti langganan gimana yah ka caranya soalnya saya enggak pernah merasa berlangganan tapi tiba² saja ada notice di dana saya potongan untuk topup Netflix.. tolong dong ka kasih tau caranya saya mau berhenti berlangganan,2025-10-02 17:24:34,,0,0556de84-102d-4a4f-98d7-1bb70acaf2b7
faizalelvan,1,kaga jelas anj kaga bisa login nih Netflix perbaiki dong developer,2025-10-02 15:31:39,,0,cf116122-40ce-4d4d-a79f-b8cac469c460
SUGENG PRAPTIONO,5,Opsional,2025-10-02 14:21:57,,0,5fd5ce7f-a3d3-41f3-a69b-786e02ba8b5b
Hiroki Matsumoto,1,dubbing Indonesia harus semua acara harus masa dubbing ada 2 suara asli sama suara dubbing,2025-10-02 13:16:28,,0,4fae8e09-3f45-409f-8421-4c3d4bce238f
Papa Americano Channel,1,aplikasi lol gak berlangganan malah potong saldo dana,2025-10-02 12:50:10,,0,73e97f5b-ff21-40d9-8e55-60974ba3079d
Cak SlentheM Tube,5,ssiiiippp,2025-10-02 12:19:02,,0,473bbcd4-0ea0-441c-8803-d682f2b67778
Karmila,1,aplikasi taiii,2025-10-02 12:16:51,,0,15148a22-4ce4-4bf4-9592-f69160a82a3d
ARYANDI APRIAN,5,the best,2025-10-02 10:46:36,,0,a79b306b-29f4-4a37-9074-b6859b4e9ecb
hendy satya,1,aneh suruh donload2 trus padahal gk gratisan,2025-10-02 10:14:35,,0,c3de968a-abd1-487c-b4e2-92e85afdd2fa
muslihin lihin,1,ga bisa login!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2025-10-02 09:56:49,,0,3ec70ad9-039f-4033-ba16-b80ecbf437b1
Muhamad Alfin Alfiansyah,1,cancel Netflix for health your kids,2025-10-02 09:25:32,,0,18586178-6df3-4bb6-a7d5-49dd4440555a
sukun 12,1,canceled netflix,2025-10-02 08:30:03,,0,b6518804-7184-4a99-a3db-2260c1f27e65
ZEO MASTER,3,Subtitlenya aneh seperti langsung di translate dari google tidak menggunakan bahasa yang baku aneh padahal aplikasi berbayar tapi subtitlenya sembarang jauh lebih bagus subtitle pada film bajakan tolong perbaiki subtitle kalian netflix saya tidak nyaman menonton jika subtitlenya tidak jelas,2025-10-02 07:30:28,,0,16860cb2-105d-475c-ae5d-d7f50258044d
Tuti Fauzie,4,ok👍,2025-10-02 06:13:35,,0,2640fb94-9892-4fb3-8132-38b48ce88e8c
Dwi Putri,1,"biasanya bagus smakin kesini tmbh gak jelas,gak bsa nonton d hp hrs bkin akun lg,biasa jg nonton d hp ribet bngt,,ak kn gk tiap hari d rumah jd sering nonton d hp ni mlh gk bsa,ak kn jg bayar. ak mau ngbisin bln ini aja gk mau lngganan lg,dana jg ak kosongin,,klo d isi psti lngsung d potong. bakal tk uniinstal.",2025-10-02 05:55:30,,0,b2462299-5f0d-4f1c-99a0-228c9ff1c2a1
Akbar ganteng,1,gabisa masuk ke aplikasi!!!!! mohon diperbaiki..,2025-10-02 05:30:54,,0,631e01c7-4829-4c68-9279-fb5062402b1d
To the Moon,1,Hati2x netflix bnyak film isi ttg non binary...gender fluid...aplagi ada di film anak2x...ngajarin ttg gender...,2025-10-02 03:57:04,,0,89da5c30-cffa-49a5-9765-37eb2fc4c941
Lly Sftry,1,saldo gue kepotong trs cara berhenti nya gimana anj😭,2025-10-02 02:48:46,,0,122e48b2-3b90-4eaa-bf46-b605162454b6
gdra 12,5,danger for your kids LGBT support for sattan...,2025-10-02 02:01:31,,0,b21b6b55-f8e5-4bfb-8f0b-908485ba3348
eko septian,5,"Sekedar Saran untuk Netflix agar lebih memperbanyak update film terbaru dari bioskop, agar jadi pilihan terbaik bagi para penikmat Netflix",2025-10-02 00:18:11,,0,9357a807-f4cb-420e-b917-cfbc88ddbb6d
Wifionly Crb,1,Apakah langganan di Netflix bisa di batalkan dan saldo kembali?,2025-10-01 18:43:45,,0,8c7ea40c-df7b-4aed-8fea-c8ed52354e5d
Vikaso Estilo,5,Belum bisa kebuka aplikasinya..,2025-10-01 14:07:34,,0,cba171a6-26f3-428c-9f67-f5515c87078b
mariyatul ikrimah,5,seru,2025-10-01 13:21:12,,0,5da1ba17-7ed8-4cc9-abc9-33c9436d9127
Deni Fauzi,3,yang mau berlangganan mending jangan karena film yang ada jadul semua,2025-10-01 12:48:48,,0,ab554fed-ae45-4edb-9b6f-941e6db80ea6
nur azizah Perwitasari,1,kenapa harus berbayar sih. kasih keringanan dong biar yang Ndak punya duit bisa nonton buat hiburan gitu lah.. 😭 dan pas lihat ulasan dibawah ada yang sampai kepotong 2 kali jadi nyesel saya download tadi. sudah aku hapus lagi jadinya. Ndak jadi nonton film di Netflix,2025-10-01 11:23:32,,5,65b0aeec-51d0-4661-93a3-81393bf42d79
bakso Bulat,5,ok,2025-10-01 10:17:25,,0,600c5819-8265-4dfa-b8f3-fd987ddc11da
Erari Silalahi766,1,jelek,2025-10-01 08:46:54,,0,b81e89f4-9a6b-4a84-86a5-ce7d6155b565
Halvac Martha,1,aduh saya tidak bisa login lagi kakak,2025-10-01 08:04:13,,0,1cce1ddf-4a4d-4a73-bdeb-253af18c2359
admelvandi busana.02,1,Tidak ada pilihan metode pembayaran.,2025-10-01 07:29:31,,0,4cc9d1e7-ce61-49e5-976c-102ca5702c3e
-Dyy77,1,aplikasi pea,2025-10-01 06:49:36,,0,2035d0d3-838f-49bd-9d13-86717971fd26
Anjas Yanuar,1,si anjing babi,2025-10-01 05:19:38,,0,d5db9c54-dcdf-4fc6-92d4-02b0f898c729
Arvi N,1,bayar apaan dah?😹,2025-10-01 04:47:11,,0,91fda5ca-cfce-4a22-9d76-3109f35346ed
Welly rakhmawan,5,the best ahhhh,2025-10-01 04:46:16,,0,0166104d-a213-483d-94e2-1b53835df799
Pemuda Hijrah,1,"padahal seingat saya ngak pernah pencet beli premium malah tiba"" beli premium langsung ilang duit saya di dana 65k ngak ada prosedurnya gimana"" langsung beli yahh bingung dong saya knp tiba"" kebeli.",2025-09-30 22:35:47,,0,7671a4ae-8171-413d-87f2-c1036f3d2c27
Gregorius Aldo,1,"Kalo memang cara masuk nya itu pakai vocer ya tinggal bilang aja, aku berjuang 4 jam untuk masuk akun ehhh ternyata pakai duit juga, Sekali mau bayar ehh gak mampu karena uang dana gak ada, tapi kan kalo memang gak bisa ya gak perlu lanjukan tu pendaptaran kan sekali aku isi dana untuk isi listrik ehhh malah abis diambil tu dana ku dasar apk gak ngotak. Udah gak jelas makin gak ada otak .lain kali kalo buat apk tu yang benar.",2025-09-30 17:33:49,,0,f2022f0d-aa12-42e6-907b-7a6509378ca4
Sagaf Said,4,bintang 4 dulu,2025-09-30 17:06:33,,0,747b13e5-9f09-4b11-9f1a-5267e51ca738
dadi yuniaariantidya,1,ngga bisa login,2025-09-30 16:17:19,,0,9c396c6c-a384-45b6-a16c-b5a973b0fd4f
Zaenudin Syah putra,5,APK NONTON FILM FAVORIT❤❤,2025-09-30 15:17:26,,0,19fd8959-06b8-4d9a-9bfd-bd10945a4e16
Aulia Lubis,1,"Netflix sekarang lok jadi hancur2an ya, jelek aplikasinya, TDK seperti dulu wktu baru2 buka, payah bgt skg, filmnya lumayan jadul TPI masih ok lah , tapi yg skg buka di awalnya gak bisa2, Uda di hapus trus download lagi masih gak bisa kebuka ....parah dah !!",2025-09-30 15:00:54,,9,5651c0fd-c42e-47a7-acaa-d7968b029259
RUDI GUNAWAN aozora,1,bad,2025-09-30 14:41:56,,0,5dc656ee-7120-47b7-918e-e8ae07b247de
Elios Sansan,1,kenapa si kok netflix gak mau mutet d hp loading mulu.giliran d tv bisa tv d hp ngga bisa padahal udah berlangganan lohh,2025-09-30 13:53:20,,0,517746c8-0eb1-427b-a41d-10866d256396
Abhelian SaputrA,1,"film nya gak update, update pun lama",2025-09-30 13:27:08,,0,e6c33dd5-28d9-4f77-af62-d9fc73f0cd62
Dafi Duck,2,"engga komplit ,pengen cari film lama ,kaya the lord off the ring ,the Hobbit ,Thor ya pokonya banyak Hollywood yg engga ada",2025-09-30 12:37:03,,0,3a4732b2-ff32-47ba-bf73-6f3169a71bfb
Rafi Saftiawan,1,gimana cara daftar nya jir,2025-09-30 11:29:34,,0,1817c6df-ae42-435a-9547-f5f4815d0804
Al_ Morning,1,KENAPA GK BISA NONTON NETFLIX AJGGGG GUA UDH BAYAR !!!!!!,2025-09-30 10:34:08,,0,e5bce959-26f0-439d-bc16-ad1fcea7185f
Julio Dacruz,1,"apk tolol, email gua udh bener tapi gak bisa masuk juga. (email gak bisa ditemukan) padahal udah bener gua masukinya",2025-09-30 08:42:48,,0,3d6912e6-157d-47ec-a831-87f6dfd1350f
Andira Ara,5,aplikasi nya bagus bisa nonton semua film di bioskop tetapi bayar agak mahal,2025-09-30 08:04:55,,0,3d10cb6c-87d9-4e7f-b455-1fada7aad5b9
Heri,5,Sebelumnya terimakasih?,2025-09-30 07:35:05,,0,610e1eed-47bd-492b-8f59-d4b9ed4391f9
Denys Surya,1,"payah, gambar nya kayak kualitas dvdrip. dah mana per bulan nya 65rb. berasa nonton bajakan.",2025-09-30 07:12:19,,0,c6f4f147-7e60-4bdd-8f2c-0375b57957d4
indra bzoy,5,boboiboy the. movie,2025-09-30 06:48:15,,0,7df8424f-b8eb-4f0f-a660-e597867c6095
Putri Praditia,1,aku udah berlangganan tapi ga bisa nonton. akun ku 1 malah bayar 2 lagii,2025-09-30 00:30:23,,0,75f39092-f0f5-42cd-a5d0-514adac28a38
Endah Novitasari,5,"mending 1 bulan 200rb, dari pada 1 hari 200rb😭😭😭😭😭",2025-09-29 23:13:42,,0,89ee080b-fca3-4cbf-a3ff-d06e3ee8d575
Hana Ritony,1,Maaf yah netflix saya gx bisa donlod kenapa harus bayar saya tidak punya duit,2025-09-29 22:38:51,,0,7c0eb377-e3ad-42a2-92d1-1d7ed30f19da
Halid,1,"belum juga sebulan berlangganan malah gk bisa masuk,nonton gk bisa, disuruh up yg 120rb padahal cukup yg 720p malah di suruh 1080p gk jelas",2025-09-29 16:45:08,,0,3015eed0-a2a3-4b0d-939b-81e946c99bfa
Fatta,1,"ini adalah aplikasi terbusuk yg saya pernah unduh mau masuk ke beranda aja banyak langkah langkah nya buang buang waktu,emang aplikasi busuk ini",2025-09-29 16:38:20,,0,c87ef75c-a31c-4def-93db-3d7fe4f3f053
Kakak Yaya,2,tidak bisa putar film di Tab saya,2025-09-29 15:35:09,,0,d6053fe6-354c-4be8-bebc-024ce555f69c
Nur islamiah Aprilia,5,yes ok banget,2025-09-29 14:37:49,,0,32daea99-aa22-40c1-95ab-550686a7a522
Edi Sriyanto,1,"Aplikasi babi, tiap nonton selalu keluar sendiri, pake app hp, app laptop, pake web juga masih aja selalu keluar sendiri. Rugi2 udah langganan setahun lebih tapi layanannya busuk",2025-09-29 13:46:53,,1,2c926672-87a2-4fda-aeef-5de1e30a41d9
Xxx Xxx,1,"udah daftar pake PC komputer pas login di hp suruh daftar lagi,gak jelas banget",2025-09-29 12:59:36,,0,e372427d-5697-4430-bb7a-e33591451007
Meini Tatuwo,1,gak bisa login pdhal udah langganan. kenapa sih ni aplikasiiiiii,2025-09-29 12:57:35,,0,9b3ba4e7-f4b4-42c0-a5a6-0305887ac527
Billy Kent,1,kualitas nya sampah,2025-09-29 11:15:04,,0,8a1f3e4a-ec9e-4d96-bc19-d07837d2b7b4
Farhan Clwr,1,ini gimana min nggak bisa masuk/login eror atau gimana,2025-09-29 10:25:23,,0,d86025c8-5e31-4a01-9ee0-ac8ccfaac7c2
leo resya,5,good,2025-09-29 10:06:44,,0,76596a1f-f030-45c7-aecf-42b593ad0b79
Ketut Martini,1,kenapa gak bisa di uninstal?????,2025-09-29 09:34:26,,0,c86f38e7-300d-41de-81f8-d1d244b657f3
donny ristiandi,2,"aplikasi lumayan, tapi kalau mau lanjut di aplikasi android tidak bisa pilih paket lain harus lanjutin paket sebelumnua",2025-09-29 07:23:34,,0,210b3963-328f-4064-b606-891e33970ed9
syasya zaeti humaira,1,jelek bgt padahal udh bayar tapi pas mau nonton loading terus kouta saya juga msih ada tpi ttp gabisa,2025-09-29 06:37:16,,0,a05c7d31-7749-435d-b1ea-8973ff433fdf
Uthu Nemo,1,"ini knpa Netflix stuck itu2 aj filmnya??? apa2 d cari tak ada,,,, yg betul lah woy",2025-09-29 06:05:10,,0,d19dfb9b-b4db-4169-8aae-2398e9d1000d
Yoga Dwi,5,lebih murah donk,2025-09-29 02:36:26,,0,5a04bcc2-0d20-4f39-aa3f-301a6bf0e450
DIMAS AJISOKO,1,incorect terus ngga pernah di benerin,2025-09-29 01:17:54,,1,63ecc45c-bb60-48d0-9527-c81b88e2d41b
Melyta Dwi lestari,1,jelek bgt,2025-09-29 01:04:19,,0,7d366f63-3ab2-40c3-9c35-bac490790c3f
Nor mega Lestari,3,"kenapa ya ko gak bisa di setel muter terus, padahal saya sudah bayar tiap bulan langganan di netflix.",2025-09-28 23:37:24,,0,3b804da5-ab0d-4945-ac23-cedf532d6f1b
purin ririn,1,sudah dibeli paket netflix g bs login,2025-09-28 22:47:32,,0,0b42a246-8110-4f54-8df9-a5adfe1ca6a0
Allbi Kaja,3,masa isi dalam apk netfli cuman ada lingk buat masuk ke croom trus pas di crom cuman bisa scrol kalo ke pencet balik ke apk yang ngasih ling gitu² mulu sampe gk ada sedetik buat nonton rugi gw udah berlangganan gw pengen uang gw di balikin aja dasar apk gk guna,2025-09-28 19:37:36,,0,c88d5d5c-0f17-4dd6-bbe8-765ee48bab1c
