Ulasan_Bersih;Labels;
kalau memang cara masuk pakai vocer tinggal bilang berjuang jam masuk ternyata pakai juga sekali bayar mampu uang dana kalau memang perlu lanju pendaptar sekali isi dana isi listrik malah abis diambil dana dasar apk ngotak sudah jelas makin otak lain kali kalau buat apk benar;Negatif;
bintang dulu;;
login;;
apk nonton film favorit;Positif;
sekarang lok hancur2 jelek seperti dulu wktu baru2 buka payah film lumay jadul masih buka awal bisa2 uda hapus download masih kebuka parah;;
kenapa mutet loading gilir padahal sudah berlanggan;Negatif;
film pun lama;;
engga komplit pengen cari film lama kaya the lord the ring the hobbit thor poko banyak hollywood engga;;
gimana cara daftar ;Netral;
kenapa nonton ajg gua sudah bayar;Negatif;
apk tolol gua sudah masuk juga ditemu padahal sudah gua masuki;Neagatif;
bagus nonton semua film bioskop tetapi bayar agak mahal;;
sebelum terimakasih;;
payah gambar kualitas dvdrip per berasa nonton baja;Negatif;
boboiboy the movie;;
sudah berlanggan nonton malah bayar;;
mending hari;;
maaf donlod kenapa harus bayar punya;;
belum juga sebul berlanggan malah masuk nonton disuruh padahal cukup malah jelas;Netral;
terbusuk pernah unduh masuk beranda banyak lang lang buang buang waktu emang busuk;Negatif;
putar film tab;;
babi tiap nonton selalu keluar sendiri pake laptop pake web juga masih selalu keluar sendiri rugi2 sudah langgan setahun lebih layanan busuk;Negatif;
sudah daftar pake komputer login daftar jelas;Positif;
login pdhal sudah langgan kenapa;Netral;
kualitas sampah;Negatif;
gimana min masuk login eror gimana;Negatif;
kenapa uninstal;;
lumay kalau lanjut pilih lain harus lanjutin sebelumnua;;
jelek padahal sudah bayar nonton loading terus kouta juga msih gabisa;Negatif;
knpa stuck itu2 film apa2 cari tak betul woy;;
lebih murah donk;Netral;
incorect terus pernah benerin;;
jelek;;
kenapa setel muter terus padahal sudah bayar tiap langgan;Negatif;
sudah dibeli login;;
masa isi apk netfli cum lingk buat masuk croom crom cum scrol kalau pencet balik apk ngasih ling sampe sedetik buat nonton rugi sudah berlanggan pengen uang balikin dasar apk guna;;
jelas;;
kek batal langgan ajah mesti masuk harus bayar sedang sudah langsung kepotong saldo dana jelas merugi orng;Negatif;
nonton hibur drama film horror video juga persen hoax;Netral;
kemahal;;
kurang ketika daftar melalui gmail masukin sandi benar bilang salah perbaiki bagus;Positif;
bagus bagus gta;Positif;
adain iqiyi masukinke bahasa korea iqiyi rese;;
pendaftar ribet;Negatif;
sampah login muter muter gabisa masuk disuruh masukin dimadukin ulang ulang terus sampah;Negatif;
capek nonton;Netral;
makin kesini neflix lag suara gambar video nge freeze gerak;Negatif;
login setengah mati;Netral;
film lengkap woe;Positif;
sudah putus anggota saldo rekening tetap terpotong;Negatif;
gabisa masuk pake nomor;Netral;
lemot;Negatif;
jelek sudah mah login pake gmail nomor telepon harus pake minta pasword dikasih ribet pake harus;Negatif;
bagus;Positif;
belum sebul berlanggan malah login aneh buang;;
lama2 males langgan karna setiap nonton delay padahal sinyal bagus sudah bayar juga;Negatif;
langgan laptop doank gilir loading;;
baik;Positif;
kalau nonton harus masuk daftar dulu daftar panjang proses sudah promosi proses saat sudah selesai disuruh masu sandi padahal awal belum disuruh buat sandi ganti sandi proses kaya awal terus puter puter belum masuk beri masu saat daftar masuk beri pilih google tinggal pilih selesai membuat orang menonton mungkin buk mengalami;Netral;
beberapa film ingin tonton seperti beberapa series umamusume anime sangat menyukai series namun terkadang kualitas pecah;Negatif;
bayar;;
kenapa tombol nonton;;
ribet amat login ribet;Negatif;
sudah berhenti langgan masih kepotong tau berlanggan secara otomatis sdah berhenti berlanggan depan kepotong otomatis hasil kepotong terus;Negatif;
keren wak;Positif;
the shitties ever sudah bayar preium paling mahal ternyata nyam nonton masa kecepat video maksimal terbiasa nonton speed kalau lelet buang waktu balik tempat download baja langsung cancel subcription terbuang percuma;Netral;
sudah dibayar nonton terus tagih setiap berhenti;;
apk korupsi;Negatif;
buat pembayar berlanggan susah ;Negatif;
keren;Positif;
asik nonton tiba2 eror buka;Negatif;
gembel eror;Negatif;
padahal sudah punya masukin malah login sudah berapa kali ganti sandi gmail sama minta sama malah daftar arahin kelink gmail link chrome harus berlanggan dulu baru masuk ribet nonton film kalau gmail sudah tersangkut apk kalau login langsung masuk walau non langgan mah kga;Netral;
masak nonton slalu gagal perbaiki mngecewa brhenti berlanggan;Negatif;
kenapa anime one piece lengkap kecewa top buat nonton agar malah lengkap sakit hati tau;Netral;
login susah;;
buka masi aman namun ketika ingin menonton loading terus padahal data kencang;Negatif;
sudah login sudah bayar juga masuk harus daftar ulang uang hilang jujur kecewa sama kira apk bagus ternyata salah sudah uninstal uang hilang padahal belum nonton sama sekali jujur kecewa;Negatif;
nonton harus make data make wifi download ketika putar harga berlanggan mahal tetapi sudai bobrok;Negatif;
halo pengguna masa sambung ganggu padahal sudah langgan perbarui;Negatif;
film sikit kali;;
sangat bagus sekali;Positif;
log out otomatis sewaktu diguna log kembali error;Negatif;
suka karna kpop demon hunter walau banyak;Netral;
lumayan tonton kalau online juga supaya bintang ful;Netral;
login padahal sudah buat malah detek gimana developer buat ngotak apl diguna kenapa promosi dasar developer;Negatif;
kualitas gambar atur langsung kaya dulu penurun kah;Negatif;
kebanya nyuruh bayar asuw baru juga downlod;;
kenapa login;;
mencoba melaku pembayar mengecek wallet diguna sete ternyata diguna shope pay saldo kurang otomatis gagal selang beberapa isi saldo notifikasi kalau pembayaran gagal sete mengguna saldo saldo potong sekitar berlanggan padahal pembayar sudah gagal kenapa masih terpotong;Netral;
jelek;;
loading sial;Negatif;
okey;;
login blom punya sudah login membuat juga ribet;;
mudah;Positif;
seru nonton disini kasi bintang buat banya movie horor suka;Positif;
udan masukin nomor satu juga sudah masukin masuk;;
kenapa berjal gabisa terus memuat padahal internet lancar;Negatif;
berguna;;
masih bingung cara buka keluar sendiri kebanya keluar sendiri;Netral;
driver;;
buruk bermanfaat penyedot kuota internet sumber virus;Negatif;
login;;
penuh film korea film serial film juga ganti ganti terus bertengger;Positif;
bug makin parah nonton keluar sendiri begitu terus ampe kesel;Negatif;
bagus jir;Positif;
donwload bre recomend login susah kek musang bermutu film lengkap hapus playstore admin dongok;Negatif;
baru daftar sudah langsung disuruh blom juga masuk menu sangat bintang;Netral;
bagus sekali suka;Positif;
daftar masuk sudah kata salah cek berulang kali salah ganti nomor telepon sudah salah;Netral;
rugi berlanggan minggu genap sebul error juga;Negatif;
belum 1bul sudah abis nonton her;;
saat ingin login malah keluar sudah kali bintang satu terima kasih;Negatif;
boros baterai padahal sudah pakai penghemat baterai;Negatif;
membuat susah;;
walau mendadak label leaving soon film drama anime;;
keren walau sudah banyak film drama anime mendadak hilang;Netral;
parah saldo dana tiba tiba kepotong tanpa notifikasi;;
terlalu banyak penipu;Negatif;
dibuka trial fre;;
bayar mahal kebanya semua film lama film baru sangat rekomendasi sebaik;;
sudah langgan ribet setting;;
belum pernah downoload mikir kids;;
langgan buat nonton film film tonton;;
suka film asli walau harus berbayar tetap suka nonton;Positif;
kenapa memutar terus;Netral;
bebas nonton banyak atur;;
lihat film selalu loading;Negatif;
min gimana gabisa nonton anjir;;
coba putar video suara gambar hitam;;
sangat buruk;Negatif;
jelas sya pogin menguna sandi sudah benar malah pake masuk sya perbaiki bintang stlah masuk dipermudah;;
nonton semua acara tiba tiba sudah uninstal sudah hapus data sama change ttep ajh kuota ful aman kecewa sama apk posisi nonton film komang;Negatif;
rizky indonesia bahasa indonesia setiap filem bahasa negara seperti tail pati bahasa indonesia buk translate bahasa buat bah indonesia;;
sudah berhenti langgan masih motong saldo ;Negatif;
sinyal bagus buka streaming lain lancar gilir buk malah;;
kenapa sudah bayar login;;
sungguh mengecewa;Negatif;
ribet login susah membuat pusing;Negatif;
bagus;Positif;
apk sudah dibayar play film padahal coba apk sebelh malah lancar hadeh rusak rusak;Negatif;
sinyal ful nonton;Netral;
hey bagaimana cara login padahal sudah memasuk alamat benar valid;Netral;
terima kasih telah membuat game suka game cum gaya main gta san andreas definitive edition game bagus sangat terima kasih senang;;
celeng celeng ndaftar ribet;;
mohon gratis perlu saldo perlu tambah biaya bayar terus;;
ganggu terus;;
film diputar;;
sudah memasu sandi benar masih salah masuk;;
sukses;Positif;
film bagus bagus;Positif;
for watching film2 kereen terbaik dunia but sejak awal juni film2 horror baru tayang kualitas jelek2 semua tambah segera film2 horror indonesia terbaru seperti labinak qodrat janur ireng penjagal iblis jal pulang pembantai dukun santet dendam malam kelam pengepung bukit duri gundik muslihat pamali tumbal;Positif;
film2 didonlot bahasa indonesia lgi kalau nonton langsung abiz upgrade;Netral;
baru tau kalau film lengkap tuju awal daftar agar n9nton gbsa tonton secara gratis malah gratis muncul jelek rekomended film dikit sar berlangg mending gausah nyesel gabakal nemu film;;
subtitle;;
aw234s awal can;;
sete download subtitle bahasa indonesia muncul harus streaming pdhal sebelum;;
bet stuck loading video padahal lancar;Negatif;
punya sar server mesir dimana masuk film indonesia pengen nonton norma mesir gaada masukin;;
sangat baik;Positif;
apk sampah masak login daftar harus bayar ameh kocak;Negatif;
sar film terbaru episode lebih baik tampil paling atas campur sudah lama ganti cover ikl;;
cal center buruk ramah saat kendala solution pokok hati2 ges kalau berlanggan hari kmudi dibatal pihak alas aktivitas mencuriga murka tiap diminta bukti aktivitas dimksd gamau ngasih jujur bingung aktivitas cum nonton berlanggan sesuai prosedur letak aktivitas alhasil dana sudah masuk kembali ges alias hangus bagus profesional sangat kecewa;;
nefflix goblok adu login susah daftar susah sakit jiwa mintak jantung hapus apk gogel playlstore buang buang waktu guna apk;Negatif;
pesulap merah official gta san andreas;;
daftar ribet sudah bayar langgan sudah download buffering play gmna;;
aneh kenapa selalu loading cara mengatasi bagaimana trims;Negatif;
buka gua sudah bayar asem kau nanti kalau sudah buka perbaiki rating kalau buka tetap kasih bintang awas hati apk penipu;Negatif;
saat masa;;
mending nonton steel bal run website baja daripada;Negatif;
film bagus;Positif;
daftar tau nonton hari bayar padahal tagih tanggal oktober malah tangguh;;
bagus gatau poko bintang;;
kenapa sete beberapa subtitle film drama download muncul biasa pernah terjadi subtitle hilang hilang bingung harus download ulang instal bantuan perbaiki;Netral;
mohon pihak membaca ulas para costumer disini juga ingin menyampai bahwa sudah hampir sekitar belakang saat ingin nonton putar sekali diputar gambar malah pecah seperti nonton resolusi jam bahula padahal rumah masa krna apk lain nonton jernih lancar pihak memperhati kepuas para costumer;Negatif;
paling parah padahal koneksi aman muter muter play nyesel pantes rating anjlok;Negatif;
susah sekali masuk;;
bagus;Positif;
apk kaga jelas;;
hallo sya bintang sete bug slesai menunggu lama sampai film bsa putar terputar pernah terjadi sebelum;;
dibuka;;
bang kenapa tiba keluar padahal batas waktu belum abis bulanan kecewa masuk padahal belum waktu abis gimana perbaiki;Negatif;
kenapa selalu memuat setiap film putar padahal kouta banyak her;;
saat menonton selalu terganggu wifi padahal wifi jaringan bagus;Netral;
masuk sudah ngulang ngulang tetap;;
bosok;;
buat susah tadi kalau permuka masuk apk kalau gini gimana kasih reting gede kalau masuk apk susah kaya gini inget perbaiki woy;Negatif;
terjadi kesalah saat mutar video mending hbo max;Negatif;
main ngundur undurin jadwal rilis dada kira beli dipikir beli tanggal film malah tiba tiba diundur k0cak kocak fakyu;Negatif;
jaringan bagus buat buka laen buka pengen nonton muter;Negatif;
daftar susah kalau masa apk dikasih tau membuat kesel;;
kenapa kalau jeda nonton lanjutin memuat anj keluar masuk sama;;
berguna;Positif;
berbayar film lengkap;Positif;
baru kali minta kata sandi;Netral;
sang membantu;Positif;
daftar ribet;Negatif;
saldo kluar padahal instal;;
sign membuat allah nauzubil apk something went wrong terus babi membuat apk kagak guna;Negatif;
terlalu banyak masa;;
maaf membuat ajah bayar;;
masuk indo pake kartu indo sama kyak luar;;
jelas sudah langgan tiba2 transaksi langgan otomatis semua sudah nonaktif beda lebih mahal tadi pernah langan terpaksa donlot hapus langan nyusahin;Negatif;
apk burik login nyet;;
enak hati ngambil dana orang;;
loading2 terus ajg;;
karyaw becus gimana login dipersulit seperti memati bisnis sendiri tiru batas jum device sistem login disney kalau winwin her digaji mahal malah bodoh orang2 najis hasil kerja kali;;
jelek kali koneksi kalau nonton wifi sekarang padahal nonton wifi aman;Negatif;
bagus;;
simple keren;Positif;
hari ultah waktu;;
daftar ribet suka error bayar padahal;Negatif;
masak film belum update2 dulu layarkaca dsri bad apl;;
ribet;Negatif;
terjadi masa saat memutar video coba semua film ;;
mentang mentang sudah banyak user langgan advice users dengerin buat lihat sampaiin atas lalai dulu sebelum besar juga banyak user bantuin jal bantuin naik ibarat gini kali sudah lari sendiri malah lupa sama ngajarin jal kaki;;
masa sudah pernah daftar pake login malah kata menemu valid padah sejak dlu pake masuk buat baru gimana kalau sudah langgan keluar login susah sia song banyak ulas merasa dirugi kasus sama login padahal sudah beli langgan seperti penipu;;
mohon isi suara indonesia soal film banyak gada suara indonesia;Netral;
suka;Positif;
mohon video sudah lama pernah tayang hapus masu video2 baru tayang agar makin rame minat;;
bagus beluk login;;
mangkin lama penagiha makin dekat tanggal tanggal kalau keluar keluar sendiri licik kelen baru bayar tanggal tanggal suru bayar licik otak kelen filim baru dasar binatang;Negatif;
siapa dapat melihat nama;;
sayang log;;
ribet imeil benar sandi benar tetap salah kalau buat bagus abal abal asal;;
jelas tiba masuk;;
terima kasih terbaik;Positif;
login pun susah;Negatif;
cara daftar ribet;;
bug play streaming handphone hanya keluar animasi loading padahal lancar;;
buffer terus padahal pake youtube lancar;;
kepada terhormat flim baru subtitle juga semua bahasa indonesia;Netral;
bagus kurang lengkap menurut selain film terbaru kurang lengkap nonton film bollywood pun terbatas buatin film bollywood lengkap sesuai tahun agar milih sesuai selera;Positif;
tingkat sandi google benar buat jak;;
sangat suka namun ingin jika anda menambah movie demon slayer terbaru secepat;Netral;
cara daftar harus bayar ribet;;
kikir ajg game;;
peringat terjebak download anda diminta daftar membayar tanpa mengecek film ingin anda tonton terlebih dahulu bagaimana jika sudah bayar biaya film lama ingin tonton ternyata;;
sangat bagus film film lengkap seru kasih bintang;Positif;
sangat bagus;Positif;
bayar buat nonton film gratis teragogo;;
good;;
download cum nonton jojo hehe;;
memutar video;;
ratting sekarang brarti bagus sudah berlanggan rugi film baru ditambah kira film baru ternyata film sudah basi layak ditonton karna kwalitas juga sudah buram pokok film jadul rugi berlanggan baru sekarang makin rusuh game cellular dimasuk membuat berat sumpah nyesel memperpanjang langgan berlanggan uninstal baik;;
kenapa kalau selalu metode pembayar selalu ubah kalau telat langgan minggu;;
suka menarik tagih sesuka hati;;
baru download sudah bayar mutar video;;
apk sangat jelek sudah benar memasuki sandi gabisa membuat kesel asli jelek;;
knpa kebuka;;
berlanggan gada uang cuy hehe;;
terima kasih;;
berlanggan netfix kenapa dibuka tulisan perangkat buk bagi rumah coba dibenerin gimana cara;;
log out gimana cara;;
turun harga;;
sudah bayar saldo kepotong terdaftar;;
sudah bayar masuk tolol;;
cukup;;
bagus;;
masuk susah;;
overal oke baik kemudah pengguna tampilan fitur fitur menonton hanya variasi film kurang lengkap cenderung kurang film film bagus mingguan juga sedikit;Positif;
sangat membantu;;
kenapa menonton mengguna wifi padah sebelum;;
rusak nge bug masa tiap nonton suka black screen kalau black screen video nge stuck suara;;
kalau bnykin anime;;
kekurang sinopsis film terlalu sederhana menarik terlalu menampil film rating imdb rendah beranda film rating tinggi justru pendam opsi langgan hanya bualan sekali kalau buat lebih murah dikit lebih bagus sar buat fitur membuat rating usia sendiri misal ketelanjang kekeras bahasa vulgar bahasa kasar downloader bermasa;;
ganggu;;
telah daftar pembayar mengguna shopeepay saldo shopeepay sudah terpotong tetapi tetap diguna tulis lanjut pendaftar pihak sudah hubungi tetapi jawab menyelesai masa kata masa otorisasi sedang pihak shope menginfo bahwa saldo tersebut sudah sukses berhasil terkirim pihak malah menyuruh membatal pembayar shopeepay sedang pembayar sudah sukses;;
hadeh langgan mahal mahal gambar video malah;;
bagus;;
bagus sekedar sar kalau rilis film bioskop cepet soal kasih sudah terlanjur beli vip malah film ditunggu tunggu belum masuk;Positif;
suka menonton hangat film;Positif;
jelas sudah daftar bayar masuk bayar otomatis;;
loading teros;;
eror akhir2 kalau buk krena film lgi going ogah gmna perbai min eror;;
nge lag mlu;;
sudah top malah nonton vidio kaset rusak macet layak segera perbaiki lama;;
tolol kata mudah persulit;;
masuk mengguna entah penyebab;;
memuat padahal sinyal;;
bagus terus biasa kpop demon hunters terbuat lihat foto foto orang ternyata sebuah film kpop demon hunters nonton film mending nonton rupa film bioskop nonton situ bagus nyo;Positif;
apk susah login kalau gue kasih bintang;;
bagus;;
login padahal sudah reset katasandi masih sama gabisa;;
loading;;
jelas;;
ribet membuat nyusahin orang lewat apk kah stres;;
semua daftar valid jelas pake;;
bagus pembayar otomatis cukup membuat terhambat ketika top;;
nonton ribet anjir harus daftar;;
terima kasih sungguh memuaskan;Positif;
good;;
padahal sebelum pernah samsek pake vpn kenapa peringat anda mengguna vpn gapake sama sekali sudah tes hasil sama alhasil harus uninstal abistu reinstal resolusi ngedrop padahal bagus;;
sebenr sangat bagus bila nonton laptop kualitas video sangat bagus bila nonton sangat gelap kenapa her sudah diperbarui gelap gulita video;;
sebelum masa baru ketika play video selalu buffering sama sekali putar normal sudah hapus chace sampai tetap buffering pakai kuota tetap buffering putar sama sekali;;
logi susah;;
sudah langgan putar balikin dana nyesel berlanggan jelek;;
bagus;;
susah daftar;Positif;
buat batal langgana jauh lebih mudah sudah membatal langgan lalu masih ditagih dana konfirmasi tiba tiba saldo hilang;;
seru;Positif;
film kurang lengkap film terbaru banyak gada;;
film diadaptasi oleh banyak bagus sendiri sangat sampah butuh satu fitur sangat sangat bermanfaat bagi banyak orang yakin pihak membuat fitur waktu jam dual subtitle kembali memberi bintang sete fitur tersebut dirilis;Positif;
kenapa hilang sudah langgan login;;
sudah daftar bayar 65ribu pake saldo shoppepay abis coba masuk disuruh selesai pendaftar terus padahal saldo shoppepay sudah terpotong trnyata baca ulas banyak kaya nyesel tdi asal bayar;;
duh yak gasi dikit scene kepotong dikit animasi gerak ngelag dikit dikit ribeh bah stiap kli terjadi harus kluar mlulu kesel kali loj sinyal bjir;;
yahudi terlalu kikir;;
rusak hypejojo rilis perbatch;;
bagus;;
keterang maaf atas ketidaknyamana kesalah pemutar coba judul lain judul keterang sama lebih langgan otomatis kepotong via dana padahal pernah tonton sekarang malah keluar terus padahal cum parah mulai hari stegah jam kebelakang baru kepotong langgan unreg berlanggan macam dinikmatin;;
load video bug perbaiki;;
sudah daptar masuk masuk harus daptar ulang;;
apk daftar susah lugin susah isi langgan sudah serba;;
sudah bagus awal langgan seneng terus coba coba cari film sherlock holmes seharus kalau sudah langgan gini nikmatin rada nyesel juga soal film tonton akhir nonton tempat lain harap segera tingkat film sudah sabar liat agar nyesel juga;;
;;
loding terus;;
movie;;
mohon maaf kali langgan kenapa tiba tiba memotong pembayar secara otomatis hanya pernah berlanggan sekali beli tiba tiba memotong tanpa konfirmasi playstore pun informasi langgan terkait langgan kenapa kali pihak secara sepihak melaku pembayar secara otomatis pembayar ovo harus menulis keluh konsumen website;;
apk sampah;;
cinta;;
nonton video film asik;;
konfirmasi;;
sekarang kemahal film juga kurang lengkap;;
berlanggan malah gabisa dibuka kacau;;
daftar ribet;;
kenapa loading sekarang jelek muter2 bjir membuat emosi;;
widih download game gta sekali;;
saat menonton kadang kualitas resolusi video berubah ubah sehingga pengalam menonton terasa kurang nyam sangat membantu jika fitur kontrol resolusi agar pengguna menyesuai sesuai kebutuh kondisi terima kasih;;
kepotong jelas;;
menyampai keluh response sampai sini saat memutar film terdapat garis garis ujung layar sudah mencoba restart instal apk netflik pembersih memori namun masa masih terjadi;;
anime akame kil want watch;;
tolol kaga jelas muter lancar;;
film kurang lengkap masa iya kalah link situs baja;;
sekarang jelek bermasa;;
login sudah ulang berkali kali;;
kenapa akses kalau aman;;
aok sampah ribet taik;;
yapapma yaokma that temanyenh;;
sudah bayar langgan dibul pertama lancar sekali dua ketika login tulisan hanya;;
tiba tiba saldo kepotong secara otomaris masuk sadar sete mengaju pembatal keanggota namun uang kunjung kembali hingga sekarang sedih uang darurat;;
kenapa kenapa hati hati rating terus turun banyak pesaing nanti masuk;;
seru minus dikeluarin asik asik nonton kata karna nonton film banyak;;
ribet apansi tempat orang penipu tiba tiba abis kirim tiba tiba nelpon her seribet masuk padahal film selengkap diperbaiki;;
kasih bintang dulu suka memuat nonton;;
developer pelit masa daftar harus bayar;;
cacat;;
gimana nonton selalu loading setiap film film sudah download tonton baru top segera perbaiki kasih solusi bagaimana cara mengatasi terimakasih;;
mantul;Positif;
sudah berlanggan malah gabisa masuk terus;;
good;;
guna;;
halo semoga membaca mengapa memberi bintang merasa kecewa langsung memotong uang terdapar applikasi dana uang otomatis terpotong tanpa persetuju belum mengkonfirmasi tetapi pihak langsung memotong uang membayar langgan padahal belum menyetujui meminta maaf apabila salah kata hanya meminta uang kembali terimakasih mario;;
sudah berhenti langgan tetap potong saldo gimana berguna berhenti langgan;;
nonton daftar ribet kek;;
jlek;;
kata sandi salah terus;;
film kebanya sesuai harap cari tersedia bayar mahal film biasa biasa;Positif;
trailer sesuai film perbaiki;Positif;
good;;
sudah mahal terus sudah berbagi bareng keluarga;;
daftar;;
ingin berta kenapa film pop demon hunter rilis youtube kalau film rilis youtube karna inggin sekali nonton;;
saldo dana langsung potong tanpa pemberitahu padahal sudah uninstal instal pake;;
masuk ribet minta susah reset susah apk;;
emang rekomendasi buat nonton;;
sekarang sudah gabisa berbagi walu langgan ultra kecewa jujur sama baru perpanjang terakhir langgan;;
kenapa login mail bner coba buat login disney masuk kenapa apk aneh kerja bner;;
semoga;;
pembayar sudah setop tiba bayar sendiri;;
sangat buruk;;
sudah bayar malah terus terus daftar bayar padahal sudah jelas jelas sudah bayar slado rekening kuga sudah potong sama begitu masuk malah bauar aneh;;
kenapa pembayar ribet kenapa bikim simple pembayar lewat mbanking langgan bayar susah;;
halo bingung lapor siapa beli hanya dipakai satu device terhubung hanya rumah aneh nonton pakai padahal gaada pakai sama sekali rumah kenapa gampang kebobol diperbaiki;;
ngeleg tiap nonton;;
aneh terkenal dipakai orang daftar super ribet normal membuat sandi selesai masih verifikasi berkali2 log;;
kenapa login min bantuan error gimana sudah berlanggan sama digunain karna login kenapa mohon konfirmasi min;;
log;;
semalam nonton eror dibuat salah mohon bantuan;;
alhamdulil film bagus2;Positif;
oke film kurang lengkap entah tayang hanya sedikit banyak film bagus tampil;;
terima kasih;;
diperbaiki gabisa muter vidio;;
suka susah;;
film lengkap mahal;;
coba daftar;;
harus bayar bagaimana jika orang mampu harus bayar orang lain juga nonton lain;;
daftar persulit;;
kenapa berbayar semua dunia milik allah;;
selama mengguna sudah bayar tetapi saat ingin menonton kenapa selalu buffering benci;;
log out terus makin jelek;;
