Ulasan_Bersih;Labels;,sentiment
maksud kenapa pembayar langsung ambil uang dana tanpa minta verifikasi konfirmasi jga punya kebutuh lain belum bayar kalau blum terpenuhi kebutuh lain kurang ajar memang kau;Negatif;,Negatif
keren;Positif;,Positif
buruk;Negatif;,Negatif
payah gambar kualitas dvdrip per berasa nonton baja;Negatif;,Negatif
lebih murah donk;Netral;,Netral
bagus banyak film;Positif;,Positif
kenapa berjal gabisa terus memuat padahal internet lancar;Negatif;,Negatif
cocok nonton sini;Positif;,Positif
daftar ribet;Negatif;,Negatif
bagus;Positif;,Positif
login pun susah;Negatif;,Negatif
halo selamat malam admin anime one piece episode kenapa mohon ditanggapi terima kasih;Netral;,Netral
login pdhal sudah langgan kenapa;Netral;,Netral
kaga jelas anj kaga login perbaiki developer;Negatif;,Negatif
jelek lebih bagus sebe tahu kah lebih suka sebe;Negatif;,Negatif
recommended apk;Positif;,Positif
baru kali minta kata sandi;Netral;,Netral
sudah bayar kalau nonton dihp ancur ngeglitch;Negatif ;,Negatif
bug makin parah nonton keluar sendiri begitu terus ampe kesel;Negatif;,Negatif
tempat nonton paling favorit pokok;Netral;,Netral
login susah gilak padahal sandi ama salah valid;Netral;,Netral
assala alaikum terhormat satu satu sangat jelek begitu download coba daftar pakek gmail langsung arah gmail bayar sebagai warga indonesia kurang mampu ngapain buat sejelek sangat kecewa;Negatif;,Negatif
padahal seingat ngak pernah pencet beli malah tiba beli langsung ilang dana ngak prosedur gimana langsung beli bingung tiba kebeli;Negatif;,Negatif
bagus;Positif;,Positif
rugi berlanggan minggu genap sebul error juga;Negatif;,Negatif
jelek sudah mah login pake gmail nomor telepon harus pake minta pasword dikasih ribet pake harus;Negatif;,Negatif
setiap nonton loading terus aneh;Netral;,Netral
rating seberapa login susah minta ampun mahal bayar kocak pantes sepi;Negatif;,Negatif
daftar ribet suka error bayar padahal;Negatif;,Negatif
gimana cara daftar ;Netral;,Netral
bagus;Positif;,Positif
terbusuk pernah unduh masuk beranda banyak lang lang buang buang waktu emang busuk;Negatif;,Negatif
streaming check oke wifi lancar video muter2 sudah selesai muter muncul2 video makin jelas apk;Negatif;,Negatif
sangat baik;Positif;,Positif
mencoba melaku pembayar mengecek wallet diguna sete ternyata diguna shope pay saldo kurang otomatis gagal selang beberapa isi saldo notifikasi kalau pembayaran gagal sete mengguna saldo saldo potong sekitar berlanggan padahal pembayar sudah gagal kenapa masih terpotong;Netral;,Netral
film bagus bagus customer service top barus baru sadar bahwa kedebet otomatis padahal sudah batal sebelum pembayar lain direfund terima kasih banyak atas profesionalitas kedepan kalau kesempat pakai;Positif;,Positif
bagus buat hibur;Positif;,Positif
sudah berhenti berlanggan uang rekening ambil orang sudah berhenti masih ngambil sudah kaya nyolong;Negatif;,Negatif
good;Positif;,Positif
film diadaptasi oleh banyak bagus sendiri sangat sampah butuh satu fitur sangat sangat bermanfaat bagi banyak orang yakin pihak membuat fitur waktu jam dual subtitle kembali memberi bintang sete fitur tersebut dirilis;Positif;,Positif
simple keren;Positif;,Positif
terima kasih sangat mempermudah nonton drakor;Positif ;,Positif
gabisa masuk mohon diperbaiki;Negatif;,Negatif
kenapa smart kebuka;Netral;,Netral
jelek kali koneksi kalau nonton wifi sekarang padahal nonton wifi aman;Negatif;,Negatif
susah daftar;Positif;,Positif
kenapa mutet loading gilir padahal sudah berlanggan;Negatif;,Negatif
kek batal langgan ajah mesti masuk harus bayar sedang sudah langsung kepotong saldo dana jelas merugi orng;Negatif;,Negatif
pembayar oto debit shope menyusah ubah pembayar via shope manual;Netral;,Netral
subtitle aneh seperti langsung translate google mengguna bahasa baku aneh padahal berbayar subtitle sembarang jauh lebih bagus subtitle film baja perbaiki subtitle kali nyam menonton jika subtitle jelas;Negatif;,Negatif
sangat bagus cepat banyak pilih film nanya muncul demon slayer infinity castle semoga muncul;Positif;,Positif
bagus;Positif;,Positif
cukup menarik kalau buk bayar sekali bayar;Positif;,Positif
bagus;Positif;,Positif
very good;Positif;,Positif
mohon isi suara indonesia soal film banyak gada suara indonesia;Netral;,Netral
bagus jir;Positif;,Positif
terbaik;Positif;,Positif
baru daftar sudah langsung disuruh blom juga masuk menu sangat bintang;Netral;,Netral
login padahal sudah buat malah detek gimana developer buat ngotak apl diguna kenapa promosi dasar developer;Negatif;,Negatif
apk nonton film favorit;Positif;,Positif
keren wak;Positif;,Positif
kalau memang cara masuk pakai vocer tinggal bilang berjuang jam masuk ternyata pakai juga sekali bayar mampu uang dana kalau memang perlu lanju pendaptar sekali isi dana isi listrik malah abis diambil dana dasar apk ngotak sudah jelas makin otak lain kali kalau buat apk benar;Negatif;,Negatif
donwload bre recomend login susah kek musang bermutu film lengkap hapus playstore admin dongok;Negatif;,Negatif
keren;Positif;,Positif
film bagus;Positif;,Positif
jaringan bagus buat buka laen buka pengen nonton muter;Negatif;,Negatif
saat ingin login malah keluar sudah kali bintang satu terima kasih;Negatif;,Negatif
for watching film2 kereen terbaik dunia but sejak awal juni film2 horror baru tayang kualitas jelek2 semua tambah segera film2 horror indonesia terbaru seperti labinak qodrat janur ireng penjagal iblis jal pulang pembantai dukun santet dendam malam kelam pengepung bukit duri gundik muslihat pamali tumbal;Positif;,Positif
buruk bermanfaat penyedot kuota internet sumber virus;Negatif;,Negatif
suka;Positif;,Positif
belum juga sebul berlanggan malah masuk nonton disuruh padahal cukup malah jelas;Netral;,Netral
paling parah padahal koneksi aman muter muter play nyesel pantes rating anjlok;Negatif;,Negatif
sangat suka namun ingin jika anda menambah movie demon slayer terbaru secepat;Netral;,Netral
nonton harus make data make wifi download ketika putar harga berlanggan mahal tetapi sudai bobrok;Negatif;,Negatif
streaming terbaik;Positif;,Positif
good nice;Positif;,Positif
simple mudah;Positif;,Positif
baik;Positif;,Positif
saldo gue kepotong cara berhenti gimana anj;Negatif;,Negatif
jelek padahal sudah bayar nonton loading terus kouta juga msih gabisa;Negatif;,Negatif
apk sampah masak login daftar harus bayar ameh kocak;Negatif;,Negatif
gabisa masuk pake nomor;Netral;,Netral
bagus;Positif;,Positif
kualitas flim bagus sekali;Positif;,Positif
gembel eror;Negatif;,Negatif
aneh kenapa selalu loading cara mengatasi bagaimana trims;Negatif;,Negatif
sudah daftar pake komputer login daftar jelas;Positif;,Positif
suka menonton hangat film;Positif;,Positif
bagus kartun kartun;Positif;,Positif
loading sial;Negatif;,Negatif
babi tiap nonton selalu keluar sendiri pake laptop pake web juga masih selalu keluar sendiri rugi2 sudah langgan setahun lebih layanan busuk;Negatif;,Negatif
sukses;Positif;,Positif
sekedar sar agar lebih memperbanyak film terbaru bioskop agar pilih terbaik bagi para penikmat;Netral;,Netral
buka masi aman namun ketika ingin menonton loading terus padahal data kencang;Negatif;,Negatif
sebenar bagus banyak film dubing mempermudah semua lancar lancar walau ketika coba log masuk terlihat sandi salah padahal benar restart terus kalau benar masuk mending pakai ganti kata sandi rada ribet juga film terlalu lengkap bagus keren lumayan semoga perbarui memperbaiki bug perbanyak film;Positif;,Positif
memutar film muncul kesalah e10 terus tab juga parah sudah bayar langgan langkah2 ribet hasil diputar film semua nyesel langgan;Negatif;,Negatif
overal oke baik kemudah pengguna tampilan fitur fitur menonton hanya variasi film kurang lengkap cenderung kurang film film bagus mingguan juga sedikit;Positif;,Positif
eror;Negatif;,Negatif
dapat menonton download;Positif;,Positif
sudah berlanggan kualitas masih jelek eek;Negatif;,Negatif
asik nonton tiba2 eror buka;Negatif;,Negatif
buat pembayar berlanggan susah ;Negatif;,Negatif
alhamdulil film bagus2;Positif;,Positif
sudah berhenti langgan masih motong saldo ;Negatif;,Negatif
kualitas sampah;Negatif;,Negatif
kenapa sete beberapa subtitle film drama download muncul biasa pernah terjadi subtitle hilang hilang bingung harus download ulang instal bantuan perbaiki;Netral;,Netral
kepada terhormat flim baru subtitle juga semua bahasa indonesia;Netral;,Netral
bagus pdhal sudah hapus apl masih notifikasi bertransaksi uang diapl dana sudah dikirim pdhal sudah berlanggan apl sudah dicopot masih keambil dasar nonton pernah disruh bertransaksi;Positif;,Positif
buka gua sudah bayar asem kau nanti kalau sudah buka perbaiki rating kalau buka tetap kasih bintang awas hati apk penipu;Negatif;,Negatif
film kebanya sesuai harap cari tersedia bayar mahal film biasa biasa;Positif;,Positif
bagus jir minus spongebob merasa kurang gapapa penting spongebob hore like spongebob lain kali adain doraemon series movie doraemon dub indo ngerti bahasa jepang soal;Positif;,Positif
bet stuck loading video padahal lancar;Negatif;,Negatif
bgus bnget ksih lima bintang;Positif;,Positif
lihat film selalu loading;Negatif;,Negatif
lemot;Negatif;,Negatif
bagus kurang lengkap menurut selain film terbaru kurang lengkap nonton film bollywood pun terbatas buatin film bollywood lengkap sesuai tahun agar milih sesuai selera;Positif;,Positif
aneh tiba tiba saldo terpotong transaksi munuju berlanggan pernah pakai punya kenapa saldo terpotong tiba tiba aneh;Netral;,Netral
halo pengguna masa sambung ganggu padahal sudah langgan perbarui;Negatif;,Negatif
neflix bagus film film suka tonton hampir smua neflix standar kualitas juga bagus jernih;Positif;,Positif
bagus bagus gta;Positif;,Positif
aneh donload2 padahal gratis;Netral;,Netral
keren;Positif;,Positif
bagus nonton squid game menurut rekomendasi lengkap semua film;Positif;,Positif
sudah berhenti berlanggan masih saldo sya dikuras;Negatif;,Negatif
kecewa sudah daftar sudah bayar malah log alas ganggu terus;Negatif;,Negatif
sangat bagus film film lengkap seru kasih bintang;Positif;,Positif
kenapa setel muter terus padahal sudah bayar tiap langgan;Negatif;,Negatif
masak nonton slalu gagal perbaiki mngecewa brhenti berlanggan;Negatif;,Negatif
apk bagus kasih kecepat vidio sampai kalau sudah ntar kasih bintang;Positif;,Positif
terjadi kesalah saat mutar video mending hbo max;Negatif;,Negatif
download jelas;Positif;,Positif
nonton semua acara tiba tiba sudah uninstal sudah hapus data sama change ttep ajh kuota ful aman kecewa sama apk posisi nonton film komang;Negatif;,Negatif
login setengah mati;Netral;,Netral
main ngundur undurin jadwal rilis dada kira beli dipikir beli tanggal film malah tiba tiba diundur k0cak kocak fakyu;Negatif;,Negatif
masih bingung cara buka keluar sendiri kebanya keluar sendiri;Netral;,Netral
very good;Positif;,Positif
kenapa nonton ajg gua sudah bayar;Negatif;,Negatif
sangat bagus hibur semua orang;Positif;,Positif
best;Positif;,Positif
capek nonton;Netral;,Netral
sangat bagus;Positif;,Positif
sudah login sudah bayar juga masuk harus daftar ulang uang hilang jujur kecewa sama kira apk bagus ternyata salah sudah uninstal uang hilang padahal belum nonton sama sekali jujur kecewa;Negatif;,Negatif
buat semua orang terpengaruh mungkin membuat bahagia kebanya indonesia rata rata semua tertarik mohon hapus agar orang nonton;Negatif ;,Negatif
bagus suka nonton;Positif;,Positif
berbayar film lengkap;Positif;,Positif
lumayan tonton kalau online juga supaya bintang ful;Netral;,Netral
suka karna kpop demon hunter walau banyak;Netral;,Netral
mudah;Positif;,Positif
the best;Positif;,Positif
sangat baik;Positif;,Positif
bagus;Positif;,Positif
lumay bagus walau masih film pengen nonton sudah bagus film film juga berkualitas;Netral;,Netral
jelek;Negatif ;,Negatif
banyak pilih film bagus murah;Positif;,Positif
sudah berhenti langgan masih kepotong tau berlanggan secara otomatis sdah berhenti berlanggan depan kepotong otomatis hasil kepotong terus;Negatif;,Negatif
terima kasih terbaik;Positif;,Positif
gabisa nonton;Netral;,Netral
biasa bagus smakin kesini jelas bsa nonton harus bkin biasa nonton ribet tiap hari rumah nonton bsa bayar ngbisin lnggan dana kosongin kalau isi psti lngsung potong bakal uniinstal;Negatif;,Negatif
dubbing indonesia harus semua acara harus masa dubbing suara asli sama suara dubbing;Netral;,Netral
kalau nonton harus masuk daftar dulu daftar panjang proses sudah promosi proses saat sudah selesai disuruh masu sandi padahal awal belum disuruh buat sandi ganti sandi proses kaya awal terus puter puter belum masuk beri masu saat daftar masuk beri pilih google tinggal pilih selesai membuat orang menonton mungkin buk mengalami;Netral;,Netral
sangat bagus buat nonton film sangat banyak menghibur bagus barang bro;Positif;,Positif
film lengkap woe;Positif;,Positif
makin kesini neflix lag suara gambar video nge freeze gerak;Negatif;,Negatif
terima kasih sungguh memuaskan;Positif;,Positif
kenapa memutar terus;Netral;,Netral
gimana min masuk login eror gimana;Negatif;,Negatif
kenapa anime one piece lengkap kecewa top buat nonton agar malah lengkap sakit hati tau;Netral;,Netral
padahal sudah langgan saldo potong seenak kesel;Negatif;,Negatif
hey bagaimana cara login padahal sudah memasuk alamat benar valid;Netral;,Netral
nonton hibur drama film horror video juga persen hoax;Netral;,Netral
ingin berhenti langgan gimana cara soal pernah merasa berlanggan tiba notice dana potong topup kasih tau cara berhenti berlanggan;Netral;,Netral
sampah login muter muter gabisa masuk disuruh masukin dimadukin ulang ulang terus sampah;Negatif;,Negatif
sangat menyenang;Positif;,Positif
penuh film korea film serial film juga ganti ganti terus bertengger;Positif;,Positif
bagus;Positif;,Positif
keren;Positif;,Positif
bagus;Positif;,Positif
saat menonton selalu terganggu wifi padahal wifi jaringan bagus;Netral;,Netral
ribet login susah membuat pusing;Negatif;,Negatif
lol berlanggan malah potong saldo dana;Netral;,Netral
payah dibuka percuma donload;Negatif;,Negatif
ribet;Negatif;,Negatif
juga download masuk sulit sekali harus kepake padahal nonton ribet uninstal;Negatif ;,Negatif
mantul;Positif;,Positif
gambar brebek jelas percuma langgan padahal sudah support wifi gambar brebek kaya kaset kusut recommen;Negatif;,Negatif
seru drama;Netral;,Netral
trailer sesuai film perbaiki;Positif;,Positif
seru nonton disini kasi bintang buat banya movie horor suka;Positif;,Positif
apa2n sudah isi langgan malah kluar sndiri jelas masuk;Negatif;,Negatif
nefflix goblok adu login susah daftar susah sakit jiwa mintak jantung hapus apk gogel playlstore buang buang waktu guna apk;Negatif;,Negatif
nyesel daftar bayar film lengkap nipu;Negatif;,Negatif
ribet amat login ribet;Negatif;,Negatif
terbaik;Positif;,Positif
sungguh mengecewa;Negatif;,Negatif
keren;Positif;,Positif
the shitties ever sudah bayar preium paling mahal ternyata nyam nonton masa kecepat video maksimal terbiasa nonton speed kalau lelet buang waktu balik tempat download baja langsung cancel subcription terbuang percuma;Netral;,Netral
bagus terus biasa kpop demon hunters terbuat lihat foto foto orang ternyata sebuah film kpop demon hunters nonton film mending nonton rupa film bioskop nonton situ bagus nyo;Positif;,Positif
tambahin fitur tonton nanti min fitur daftar pantes cum buat film favorite film;Netral;,Netral
dikasih masuk gimana coba masa kasih;Netral;,Netral
apk korupsi;Negatif;,Negatif
daftar masuk sudah kata salah cek berulang kali salah ganti nomor telepon sudah salah;Netral;,Netral
bagus;Positif;,Positif
beberapa film ingin tonton seperti beberapa series umamusume anime sangat menyukai series namun terkadang kualitas pecah;Negatif;,Negatif
sangat memuas;Positif;,Positif
bang kenapa tiba keluar padahal batas waktu belum abis bulanan kecewa masuk padahal belum waktu abis gimana perbaiki;Negatif;,Negatif
bagus sekali menurut cocok;Positif;,Positif
sangat bagus;Positif;,Positif
terlalu banyak penipu;Negatif;,Negatif
log out otomatis sewaktu diguna log kembali error;Negatif;,Negatif
